Año,País,Parkinson,Tasa_contaminacion_Aire,Exp_Plomo,Pesticidas,Nitratos,Usuarios_Internet
1995,Ireland,142.32953,1.8220369,254.21758,1138.79,30.09,113257.3
1996,Ireland,143.09209,1.7086823,244.08409,1051.14,29.373333,118387.945
1997,Ireland,143.28148,1.501968,234.3004,1409.14,29.373333,124682.95
1998,Ireland,143.08623,1.7665734,227.51334,1560.62,59.796104,82604.52
1999,Ireland,142.9473,1.8471532,220.42772,1761.15,59.796104,119243.72
2000,Ireland,143.36848,1.7343932,208.49492,1500.4,59.796104,97709.09
2001,Ireland,145.94658,1.5031177,192.25702,1853.15,21.992188,197324.03
2002,Ireland,151.04832,1.4306359,181.56638,1641.61,21.992188,223106.8
2003,Ireland,157.16376,1.3397719,169.60413,79821.18,13.376875,266559.88
2004,Ireland,162.91765,1.1350211,160.58556,79821.18,14.955953,318580.16
2005,Ireland,167.03056,1.0263131,150.28621,79821.18,22.870556,362206.94
2006,Ireland,169.89024,0.9472983,143.05705,79821.18,22.870556,380468.12
2007,Ireland,172.94997,1.0262854,136.62105,79821.18,26.224226,585551.8
2008,Ireland,176.28085,0.87508166,129.74751,79821.18,26.090744,766217.25
2009,Ireland,179.73006,0.866646,123.637436,79821.18,26.335289,1183917.5
2010,Ireland,183.26147,0.67834836,114.749886,79821.18,23.34158,1392961.0
2011,Ireland,187.12323,0.73072135,112.05908,79821.18,18.069689,1455043.2
2012,Ireland,191.63206,0.7740399,108.23513,79821.18,23.225521,1577128.0
2013,Ireland,196.95168,0.7559492,104.157364,79821.18,20.444134,1515053.0
2014,Ireland,202.92044,0.38879848,98.80322,78735.45,24.149868,1684293.6
2015,Ireland,209.35484,0.32457817,96.848816,70262.54,24.454096,1748331.8
2016,Ireland,216.58195,0.28191093,94.63426,67869.72,23.961048,2027753.2
2017,Ireland,224.9725,0.3268287,88.824875,64688.88,21.802803,2175706.0
2018,Ireland,234.43198,0.26486713,85.45415,63829.77,23.370207,2457199.5
2019,Ireland,244.1069,0.22699928,81.16232,65248.26,24.08731,2575967.2
2020,Ireland,258.60992,0.18656866,74.47215,61164.07,22.052563,2694471.8
2021,Ireland,259.36514,0.15056528,68.44124,58750.0,20.938387,157187.0
1992,Italy,294.86844,2.9344292,217.85185,1111.9,19.896555,2043583.9
1993,Italy,305.5939,2.8446274,215.20448,708.0,25.240425,2446920.0
1994,Italy,314.37442,2.8303502,212.6336,1010.0,19.568165,3199336.2
1995,Italy,322.4706,2.7338214,206.4973,719.0,9.954062,3927159.0
1996,Italy,328.3537,2.5036373,200.77687,666.0,9.954062,28492098.0
1997,Italy,329.58722,2.67218,198.73112,1028.0,18.606647,30854056.0
1998,Italy,328.37906,2.6353219,200.0381,1291.4,20.529444,33378962.0
1999,Italy,327.60794,2.4625776,195.38066,675.0,20.529444,36007196.0
2000,Italy,330.52798,2.0065446,188.66286,1862.0,5.3566313,38860492.0
2001,Italy,338.03745,1.7140791,181.55502,1176.0,5.3566313,4805301.0
2002,Italy,346.01785,1.9509159,179.59074,1257.0,4.3972983,5863169.5
2003,Italy,353.74152,2.0905218,179.25053,17182.0,4.6805053,7189737.5
2004,Italy,361.0114,2.0654,169.464,17182.0,4.6972528,8779410.0
2005,Italy,367.13928,2.0035489,165.70888,17182.0,3.4692914,9073601.0
2006,Italy,360.94128,1.9137224,159.20337,13535.0,4.6970987,10113210.0
2007,Italy,336.63492,1.763235,156.06146,13047.0,5.274468,10552400.0
2008,Italy,305.5195,1.6256526,154.77155,8112.0,5.987703,11288240.0
2009,Italy,279.45807,1.5671152,152.88861,6416.14,5.1378045,11688621.0
2010,Italy,270.5767,1.6325706,149.47935,4720.28,5.2633147,12106562.0
2011,Italy,275.38696,1.6650367,146.57547,3024.42,8.565526,12442722.0
2012,Italy,280.64502,1.7564888,144.08705,3007.26,7.939756,14032447.0
2013,Italy,286.3722,1.7601105,139.35675,3361.84,7.7,15803409.0
2014,Italy,292.5437,1.7880526,135.58112,3606.55,9.093049,17561006.0
2015,Italy,297.96442,1.8069756,137.36569,3802.92,8.0112915,19453520.0
2016,Italy,301.12787,1.8385365,131.10362,3666.62,8.4812765,21427762.0
2017,Italy,302.04276,1.8246768,128.20947,3926.27,11.257018,23576428.0
2021,Italy,312.46417,2.1350012,110.78336,6283.85,9.265189,41840404.0
1992,Lithuania,115.834145,1.3905013,230.02277,139.89,23.766897,245658.08
1993,Lithuania,118.84786,1.5016252,257.94888,88.26,23.766897,292111.84
1994,Lithuania,121.33286,1.3229338,266.31848,49.52,22.138083,333227.06
1995,Lithuania,123.21337,1.4189576,258.76,130.46,21.073833,379053.8
1998,Lithuania,126.945076,0.7195784,224.4118,146.76,19.341396,477.75266
1999,Lithuania,128.627,0.6723873,218.2454,68.01,21.436825,963.29
2000,Lithuania,131.2587,0.85008925,213.88551,114.51,22.872793,9751.88
2001,Lithuania,135.99423,0.9835725,225.5458,109.39,20.590513,420625.12
2002,Lithuania,142.13544,1.0471265,224.4145,93.88,22.401047,485903.22
2003,Lithuania,149.229,0.9874669,227.32965,112.11,23.59579,583709.4
2004,Lithuania,156.20538,0.80153346,228.25252,143.9,21.638643,695400.56
2005,Lithuania,161.4749,0.78994983,242.03784,241.89,17.90266,5031.6294
2006,Lithuania,164.50078,0.6913047,247.23622,310.36,18.720638,10069.437
2007,Lithuania,165.18552,0.7303355,252.13857,377.71,19.14027,30292.742
2008,Lithuania,164.86942,0.5360806,240.79042,507.94,18.021696,50631.035
